total_amount,loan_lenght,month_pay,debt_income_ratio,month_income,fico_score,open_credit_lines,tot_credit_lines,rev_credit_bal,inquiries_6_month,del_last_2yrs,public_records,employ_length,status,home_any,home_mortage,home_none,home_own,home_rent
8000,36,243.34,7.96,9166.67,770.0,5.0,10.0,66.0,0.0,0.0,0.0,4.0,0,0,0,0,0,1
8000,36,243.34,6.35,2000.0,790.0,6.0,14.0,4749.0,2.0,0.0,0.0,3.0,0,0,1,0,0,0
8000,36,243.34,2.22,3600.0,790.0,6.0,13.0,2799.0,1.0,0.0,0.0,2.0,0,0,0,0,0,1
8000,36,243.34,9.59,7250.0,770.0,6.0,13.0,4938.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
8000,36,243.34,8.13,7166.67,770.0,6.0,11.0,483.0,0.0,0.0,0.0,10.0,0,0,0,0,0,1
8000,36,243.34,3.39,6250.0,770.0,6.0,8.0,558.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
8000,36,243.34,5.74,4666.67,790.0,6.0,10.0,144.0,0.0,0.0,0.0,10.0,0,0,0,0,0,1
8000,36,243.34,6.22,5000.0,770.0,7.0,19.0,1100.0,0.0,0.0,1.0,10.0,0,0,1,0,0,0
8000,36,243.34,11.25,6303.17,790.0,7.0,11.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,1
8000,36,243.34,1.27,4166.67,770.0,8.0,16.0,1367.0,1.0,0.0,0.0,1.0,0,0,1,0,0,0
8000,36,243.34,27.88,4627.5,770.0,9.0,22.0,64371.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
8000,36,243.34,20.55,2666.67,770.0,9.0,25.0,18536.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
8000,36,243.34,13.75,4000.0,770.0,9.0,9.0,3794.0,0.0,0.0,0.0,7.0,0,0,0,0,0,1
8000,36,243.34,14.47,5416.67,770.0,9.0,20.0,16249.0,0.0,0.0,0.0,3.0,0,0,1,0,0,0
8000,36,243.34,17.41,6666.67,770.0,11.0,25.0,3962.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
8000,36,243.34,12.84,6583.33,770.0,11.0,19.0,1827.0,0.0,0.0,0.0,4.0,0,0,1,0,0,0
8000,36,243.34,8.94,3500.0,790.0,11.0,13.0,77.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
8000,36,243.34,2.83,3500.0,770.0,14.0,28.0,1913.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
8000,36,243.34,2.91,10000.0,790.0,17.0,55.0,654.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
7500,36,243.35,16.57,4333.33,732.0,7.0,41.0,5437.0,1.0,0.0,0.0,10.0,0,0,0,0,0,1
7200,36,243.37,14.42,5000.0,695.0,8.0,9.0,23079.0,0.0,0.0,0.0,5.0,0,0,0,0,0,1
7200,36,243.37,22.77,3333.33,695.0,8.0,14.0,9325.0,1.0,0.0,0.0,1.0,0,0,0,0,0,1
7200,36,243.37,12.62,4201.24,695.0,16.0,20.0,1007.0,4.0,4.0,0.0,1.0,0,0,0,0,1,0
7500,36,243.38,3.26,3500.0,695.0,2.0,2.0,3608.0,1.0,0.0,0.0,2.0,1,0,0,0,0,1
7500,36,243.38,5.57,3750.0,695.0,5.0,10.0,33.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0
7500,36,243.38,6.86,4166.67,695.0,7.0,12.0,12742.0,1.0,0.0,0.0,1.0,0,0,1,0,0,0
7500,36,243.38,20.92,4416.67,732.0,7.0,19.0,9754.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
7500,36,243.38,15.69,14833.33,695.0,8.0,18.0,161337.0,3.0,0.0,0.0,10.0,0,0,1,0,0,0
7000,36,243.38,17.3,5850.33,695.0,9.0,21.0,13655.0,7.0,0.0,1.0,10.0,0,0,1,0,0,0
7500,36,243.38,14.85,5083.33,732.0,10.0,13.0,4322.0,2.0,0.0,0.0,3.0,0,0,0,0,0,1
7500,36,243.38,10.24,2500.0,695.0,10.0,20.0,10444.0,1.0,1.0,0.0,3.0,0,0,0,0,1,0
7000,36,243.38,16.15,4521.42,669.0,12.0,38.0,8871.0,0.0,0.0,1.0,10.0,0,0,1,0,0,0
8025,36,243.38,12.82,7666.67,732.0,13.0,42.0,17137.0,1.0,0.0,0.0,10.0,0,0,1,0,0,0
7000,36,243.38,22.72,4750.0,669.0,13.0,18.0,25717.0,0.0,0.0,0.0,5.0,0,0,1,0,0,0
7500,36,243.38,10.64,7583.33,695.0,20.0,59.0,11336.0,2.0,1.0,0.0,0.0,0,0,1,0,0,0
9600,60,243.42,21.6,10000.0,669.0,15.0,25.0,25420.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
6925,36,243.43,21.24,3333.33,669.0,6.0,13.0,6352.0,1.0,0.0,0.0,10.0,0,0,0,0,0,1
9000,60,243.43,10.57,1750.0,669.0,11.0,13.0,6981.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0
9000,60,243.43,13.3,6750.0,669.0,12.0,17.0,9519.0,1.0,0.0,0.0,10.0,0,0,0,0,0,1
10400,60,243.45,11.67,4583.33,732.0,10.0,14.0,8121.0,1.0,0.0,0.0,4.0,0,0,0,0,0,1
7000,36,243.45,21.94,3500.0,669.0,16.0,26.0,3728.0,1.0,0.0,0.0,5.0,0,0,1,0,0,0
11200,60,243.46,17.63,2416.67,732.0,15.0,24.0,1155.0,0.0,0.0,0.0,3.0,0,0,0,0,0,1
8000,36,243.49,4.02,5600.0,790.0,6.0,21.0,7501.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
8000,36,243.49,6.04,5250.0,770.0,6.0,20.0,1829.0,2.0,0.0,0.0,10.0,0,0,0,0,0,1
8000,36,243.49,18.76,7083.33,770.0,6.0,32.0,1112.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
8000,36,243.49,1.02,6800.0,790.0,6.0,21.0,2265.0,1.0,0.0,0.0,10.0,0,0,1,0,0,0
8000,36,243.49,0.57,2625.0,790.0,6.0,17.0,248.0,0.0,0.0,0.0,4.986808401639344,0,0,0,0,1,0
8000,36,243.49,10.36,5000.0,732.0,7.0,10.0,9150.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
8000,36,243.49,9.42,2950.0,770.0,7.0,30.0,12151.0,0.0,0.0,0.0,9.0,0,0,0,0,1,0
8000,36,243.49,2.5,5360.0,770.0,7.0,17.0,1166.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
8000,36,243.49,4.11,2800.0,790.0,7.0,27.0,3751.0,0.0,0.0,0.0,4.986808401639344,0,0,1,0,0,0
8000,36,243.49,5.93,5333.33,732.0,8.0,13.0,15442.0,0.0,0.0,0.0,6.0,0,0,0,0,0,1
8000,36,243.49,14.4,6250.0,770.0,8.0,29.0,74755.0,0.0,0.0,0.0,4.986808401639344,0,0,1,0,0,0
8000,36,243.49,7.84,3416.67,770.0,8.0,15.0,27026.0,0.0,0.0,0.0,5.0,0,0,1,0,0,0
8000,36,243.49,21.33,2916.67,770.0,8.0,21.0,8057.0,0.0,0.0,0.0,10.0,0,0,0,0,0,1
8000,36,243.49,11.52,4800.0,770.0,8.0,12.0,8311.0,0.0,0.0,0.0,6.0,0,0,0,0,0,1
